model	task	scope	id	name	predicate_kind	type	universe	facts	bytes	attempts	evaluation_ns	sparse_bytes	best_bytes
pso	rec_ticketlock.yml	predicate	31	$n9	3	relation	52	0	416	4	0	212	212
pso	rec_ticketlock.yml	predicate	32	$n10	3	relation	52	0	416	4	0	212	212
pso	rec_ticketlock.yml	predicate	33	$n11	2	relation	52	174	416	4	0	908	416
pso	rec_ticketlock.yml	predicate	34	$n12	5	set	52	4	8	4	0	7	7
pso	rec_ticketlock.yml	predicate	35	$n13	7	relation	52	4	416	4	0	228	228
pso	rec_ticketlock.yml	predicate	36	$n14	3	relation	52	44	416	4	0	388	388
pso	rec_ticketlock.yml	predicate	37	$n15	7	relation	52	11	416	4	0	256	256
pso	rec_ticketlock.yml	predicate	38	$n16	3	relation	52	12	416	4	0	260	260
pso	rec_ticketlock.yml	predicate	39	$n17	11	relation	52	412	416	4	0	1860	416
pso	rec_ticketlock.yml	predicate	40	$n18	3	relation	52	12	416	4	0	260	260
pso	rec_ticketlock.yml	predicate	41	$n19	11	relation	52	412	416	4	0	1860	416
pso	rec_ticketlock.yml	predicate	42	$n20	3	relation	52	80	416	4	0	532	416
pso	rec_ticketlock.yml	predicate	43	$n21	11	relation	52	412	416	4	0	1860	416
pso	rec_ticketlock.yml	predicate	44	$n22	3	relation	52	25	416	4	0	312	312
pso	rec_ticketlock.yml	predicate	45	$n23	11	relation	52	412	416	4	0	1860	416
pso	rec_ticketlock.yml	predicate	46	$n24	3	relation	52	75	416	4	0	512	416
pso	rec_ticketlock.yml	predicate	47	$n25	2	relation	52	340	416	4	0	1572	416
pso	rec_ticketlock.yml	predicate	48	$n26	3	relation	52	0	416	4	0	212	212
pso	rec_ticketlock.yml	predicate	49	$n27	5	relation	52	0	416	4	0	212	212
pso	rec_ticketlock.yml	predicate	50	$n28	5	relation	52	39	416	4	0	368	368
pso	rec_ticketlock.yml	predicate	51	$n29	2	relation	52	48	416	4	0	404	404
pso	rec_ticketlock.yml	predicate	52	$n30	2	relation	52	51	416	4	0	416	416
pso	rec_ticketlock.yml	predicate	53	$n31	2	relation	52	64	416	4	0	468	416
pso	parallel-min-max-1.wvr.yml	base	-1	F	-1	set	14	0	8	0	0	2	2
pso	parallel-min-max-1.wvr.yml	base	-1	R	-1	set	14	2	8	0	0	2	2
pso	parallel-min-max-1.wvr.yml	base	-1	SC	-1	set	14	8	8	0	0	2	2
pso	parallel-min-max-1.wvr.yml	base	-1	W	-1	set	14	12	8	0	0	2	2
pso	parallel-min-max-1.wvr.yml	base	-1	co	-1	relation	14	6	112	0	0	84	84
pso	parallel-min-max-1.wvr.yml	base	-1	ext	-1	relation	14	96	112	0	0	444	112
pso	parallel-min-max-1.wvr.yml	base	-1	fr	-1	relation	14	1	112	0	0	64	64
pso	parallel-min-max-1.wvr.yml	base	-1	loc	-1	relation	14	36	112	0	0	204	112
pso	parallel-min-max-1.wvr.yml	base	-1	po	-1	relation	14	28	112	0	0	172	112
pso	parallel-min-max-1.wvr.yml	base	-1	rf	-1	relation	14	2	112	0	0	68	68
pso	parallel-min-max-1.wvr.yml	base	-1	rmw	-1	relation	14	0	112	0	0	60	60
pso	parallel-min-max-1.wvr.yml	base	-1	tc	-1	relation	14	0	112	0	0	60	60
pso	parallel-min-max-1.wvr.yml	base	-1	tj	-1	relation	14	0	112	0	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	0	com	2	relation	14	8	112	1	0	92	92
pso	parallel-min-max-1.wvr.yml	predicate	1	ww_loc	5	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	2	ppo	2	relation	14	28	112	1	0	172	112
pso	parallel-min-max-1.wvr.yml	predicate	3	lifecycle	2	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	4	order	2	relation	14	36	112	1	0	204	112
pso	parallel-min-max-1.wvr.yml	predicate	5	reach	12	relation	14	88	112	1	0	412	112
pso	parallel-min-max-1.wvr.yml	predicate	6	rf	0	relation	14	2	112	0	0	68	68
pso	parallel-min-max-1.wvr.yml	predicate	7	ext	0	relation	14	96	112	0	0	444	112
pso	parallel-min-max-1.wvr.yml	predicate	8	rfe	5	relation	14	1	112	1	0	64	64
pso	parallel-min-max-1.wvr.yml	predicate	9	fr	0	relation	14	1	112	0	0	64	64
pso	parallel-min-max-1.wvr.yml	predicate	10	co	0	relation	14	6	112	0	0	84	84
pso	parallel-min-max-1.wvr.yml	predicate	11	W	0	set	14	12	8	0	0	2	2
pso	parallel-min-max-1.wvr.yml	predicate	12	po	0	relation	14	28	112	0	0	172	112
pso	parallel-min-max-1.wvr.yml	predicate	13	loc	0	relation	14	36	112	0	0	204	112
pso	parallel-min-max-1.wvr.yml	predicate	14	R	0	set	14	2	8	0	0	2	2
pso	parallel-min-max-1.wvr.yml	predicate	15	F	0	set	14	0	8	0	0	2	2
pso	parallel-min-max-1.wvr.yml	predicate	16	SC	0	set	14	8	8	0	0	2	2
pso	parallel-min-max-1.wvr.yml	predicate	17	tc	0	relation	14	0	112	0	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	18	tj	0	relation	14	0	112	0	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	19	rmw	0	relation	14	0	112	0	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	20	fre	5	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	21	coe	5	relation	14	6	112	1	0	84	84
pso	parallel-min-max-1.wvr.yml	predicate	22	$n0	2	relation	14	2	112	1	0	68	68
pso	parallel-min-max-1.wvr.yml	predicate	23	$n1	7	relation	14	12	112	1	0	108	108
pso	parallel-min-max-1.wvr.yml	predicate	24	$n2	3	relation	14	24	112	1	0	156	112
pso	parallel-min-max-1.wvr.yml	predicate	25	$n3	7	relation	14	12	112	1	0	108	108
pso	parallel-min-max-1.wvr.yml	predicate	26	$n4	3	relation	14	15	112	1	0	120	112
pso	parallel-min-max-1.wvr.yml	predicate	27	$n5	7	relation	14	2	112	1	0	68	68
pso	parallel-min-max-1.wvr.yml	predicate	28	$n6	3	relation	14	4	112	1	0	76	76
pso	parallel-min-max-1.wvr.yml	predicate	29	$n7	2	relation	14	4	112	1	0	76	76
pso	parallel-min-max-1.wvr.yml	predicate	30	$n8	7	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	31	$n9	3	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	32	$n10	3	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	33	$n11	2	relation	14	4	112	1	0	76	76
pso	parallel-min-max-1.wvr.yml	predicate	34	$n12	5	set	14	6	8	1	0	2	2
pso	parallel-min-max-1.wvr.yml	predicate	35	$n13	7	relation	14	6	112	1	0	84	84
pso	parallel-min-max-1.wvr.yml	predicate	36	$n14	3	relation	14	24	112	1	0	156	112
pso	parallel-min-max-1.wvr.yml	predicate	37	$n15	7	relation	14	8	112	1	0	92	92
pso	parallel-min-max-1.wvr.yml	predicate	38	$n16	3	relation	14	24	112	1	0	156	112
pso	parallel-min-max-1.wvr.yml	predicate	39	$n17	11	relation	14	42	112	1	0	228	112
pso	parallel-min-max-1.wvr.yml	predicate	40	$n18	3	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	41	$n19	11	relation	14	42	112	1	0	228	112
pso	parallel-min-max-1.wvr.yml	predicate	42	$n20	3	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	43	$n21	11	relation	14	42	112	1	0	228	112
pso	parallel-min-max-1.wvr.yml	predicate	44	$n22	3	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	45	$n23	11	relation	14	42	112	1	0	228	112
pso	parallel-min-max-1.wvr.yml	predicate	46	$n24	3	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	47	$n25	2	relation	14	28	112	1	0	172	112
pso	parallel-min-max-1.wvr.yml	predicate	48	$n26	3	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	49	$n27	5	relation	14	0	112	1	0	60	60
pso	parallel-min-max-1.wvr.yml	predicate	50	$n28	5	relation	14	3	112	1	0	72	72
pso	parallel-min-max-1.wvr.yml	predicate	51	$n29	2	relation	14	4	112	1	0	76	76
pso	parallel-min-max-1.wvr.yml	predicate	52	$n30	2	relation	14	5	112	1	0	80	80
pso	parallel-min-max-1.wvr.yml	predicate	53	$n31	2	relation	14	11	112	1	0	104	104
pso	rwlock.yml	base	-1	F	-1	set	1056	0	136	0	0	132	132
pso	rwlock.yml	base	-1	R	-1	set	1056	1026	136	0	0	132	132
pso	rwlock.yml	base	-1	SC	-1	set	1056	1026	136	0	0	132	132
pso	rwlock.yml	base	-1	W	-1	set	1056	19	136	0	0	132	132
pso	rwlock.yml	base	-1	co	-1	relation	1056	12	143616	0	0	4276	4276
pso	rwlock.yml	base	-1	ext	-1	relation	1056	49640	143616	0	0	202788	143616
pso	rwlock.yml	base	-1	fr	-1	relation	1056	15	143616	0	0	4288	4288
pso	rwlock.yml	base	-1	loc	-1	relation	1056	1054750	143616	0	0	4223228	143616
pso	rwlock.yml	base	-1	po	-1	relation	1056	525895	143616	0	0	2107808	143616
pso	rwlock.yml	base	-1	rf	-1	relation	1056	1026	143616	0	0	8332	8332
pso	rwlock.yml	base	-1	rmw	-1	relation	1056	3	143616	0	0	4240	4240
pso	rwlock.yml	base	-1	tc	-1	relation	1056	4	143616	0	0	4244	4244
pso	rwlock.yml	base	-1	tj	-1	relation	1056	1	143616	0	0	4232	4232
pso	rwlock.yml	predicate	0	com	2	relation	1056	1033	143616	1024	0	8360	8360
pso	rwlock.yml	predicate	1	ww_loc	5	relation	1056	2	143616	1024	0	4236	4236
pso	rwlock.yml	predicate	2	ppo	2	relation	1056	522757	143616	1024	0	2095256	143616
pso	rwlock.yml	predicate	3	lifecycle	2	relation	1056	2090	143616	1024	0	12588	12588
pso	rwlock.yml	predicate	4	order	2	relation	1056	525878	143616	1024	0	2107740	143616
pso	rwlock.yml	predicate	5	reach	12	relation	1056	1056826	143616	1024	0	4231532	143616
pso	rwlock.yml	predicate	6	rf	0	relation	1056	1026	143616	0	0	8332	8332
pso	rwlock.yml	predicate	7	ext	0	relation	1056	49640	143616	0	0	202788	143616
pso	rwlock.yml	predicate	8	rfe	5	relation	1056	1025	143616	1024	0	8328	8328
pso	rwlock.yml	predicate	9	fr	0	relation	1056	15	143616	0	0	4288	4288
pso	rwlock.yml	predicate	10	co	0	relation	1056	12	143616	0	0	4276	4276
pso	rwlock.yml	predicate	11	W	0	set	1056	19	136	0	0	132	132
pso	rwlock.yml	predicate	12	po	0	relation	1056	525895	143616	0	0	2107808	143616
pso	rwlock.yml	predicate	13	loc	0	relation	1056	1054750	143616	0	0	4223228	143616
pso	rwlock.yml	predicate	14	R	0	set	1056	1026	136	0	0	132	132
pso	rwlock.yml	predicate	15	F	0	set	1056	0	136	0	0	132	132
pso	rwlock.yml	predicate	16	SC	0	set	1056	1026	136	0	0	132	132
pso	rwlock.yml	predicate	17	tc	0	relation	1056	4	143616	0	0	4244	4244
pso	rwlock.yml	predicate	18	tj	0	relation	1056	1	143616	0	0	4232	4232
pso	rwlock.yml	predicate	19	rmw	0	relation	1056	3	143616	0	0	4240	4240
pso	rwlock.yml	predicate	20	fre	5	relation	1056	4	143616	1024	0	4244	4244
pso	rwlock.yml	predicate	21	coe	5	relation	1056	10	143616	1024	0	4268	4268
pso	rwlock.yml	predicate	22	$n0	2	relation	1056	1028	143616	1024	0	8340	8340
pso	rwlock.yml	predicate	23	$n1	7	relation	1056	19	143616	1024	0	4304	4304
pso	rwlock.yml	predicate	24	$n2	3	relation	1056	69	143616	1024	0	4504	4504
pso	rwlock.yml	predicate	25	$n3	7	relation	1056	19	143616	1024	0	4304	4304
pso	rwlock.yml	predicate	26	$n4	3	relation	1056	21	143616	1024	0	4312	4312
pso	rwlock.yml	predicate	27	$n5	7	relation	1056	1026	143616	1024	0	8332	8332
pso	rwlock.yml	predicate	28	$n6	3	relation	1056	522757	143616	1024	0	2095256	143616
pso	rwlock.yml	predicate	29	$n7	2	relation	1056	522757	143616	1024	0	2095256	143616
pso	rwlock.yml	predicate	30	$n8	7	relation	1056	0	143616	1024	0	4228	4228
pso	rwlock.yml	predicate	31	$n9	3	relation	1056	0	143616	1024	0	4228	4228
pso	rwlock.yml	predicate	32	$n10	3	relation	1056	0	143616	1024	0	4228	4228
pso	rwlock.yml	predicate	33	$n11	2	relation	1056	522757	143616	1024	0	2095256	143616
pso	rwlock.yml	predicate	34	$n12	5	set	1056	4	136	1024	0	132	132
pso	rwlock.yml	predicate	35	$n13	7	relation	1056	4	143616	1024	0	4244	4244
pso	rwlock.yml	predicate	36	$n14	3	relation	1056	29	143616	1024	0	4344	4344
pso	rwlock.yml	predicate	37	$n15	7	relation	1056	1026	143616	1024	0	8332	8332
pso	rwlock.yml	predicate	38	$n16	3	relation	1056	11	143616	1024	0	4272	4272
pso	rwlock.yml	predicate	39	$n17	11	relation	1056	526951	143616	1024	0	2112032	143616
pso	rwlock.yml	predicate	40	$n18	3	relation	1056	20	143616	1024	0	4308	4308
pso	rwlock.yml	predicate	41	$n19	11	relation	1056	526951	143616	1024	0	2112032	143616
pso	rwlock.yml	predicate	42	$n20	3	relation	1056	2090	143616	1024	0	12588	12588
pso	rwlock.yml	predicate	43	$n21	11	relation	1056	526951	143616	1024	0	2112032	143616
pso	rwlock.yml	predicate	44	$n22	3	relation	1056	21	143616	1024	0	4312	4312
pso	rwlock.yml	predicate	45	$n23	11	relation	1056	526951	143616	1024	0	2112032	143616
pso	rwlock.yml	predicate	46	$n24	3	relation	1056	63	143616	1024	0	4480	4480
pso	rwlock.yml	predicate	47	$n25	2	relation	1056	524847	143616	1024	0	2103616	143616
pso	rwlock.yml	predicate	48	$n26	3	relation	1056	0	143616	1024	0	4228	4228
pso	rwlock.yml	predicate	49	$n27	5	relation	1056	0	143616	1024	0	4228	4228
pso	rwlock.yml	predicate	50	$n28	5	relation	1056	522757	143616	1024	0	2095256	143616
pso	rwlock.yml	predicate	51	$n29	2	relation	1056	523782	143616	1024	0	2099356	143616
pso	rwlock.yml	predicate	52	$n30	2	relation	1056	523783	143616	1024	0	2099360	143616
pso	rwlock.yml	predicate	53	$n31	2	relation	1056	523788	143616	1024	0	2099380	143616
pso	ttaslock.yml	base	-1	F	-1	set	1052	0	136	0	0	132	132
pso	ttaslock.yml	base	-1	R	-1	set	1052	1026	136	0	0	132	132
pso	ttaslock.yml	base	-1	SC	-1	set	1052	1026	136	0	0	132	132
pso	ttaslock.yml	base	-1	W	-1	set	1052	13	136	0	0	132	132
pso	ttaslock.yml	base	-1	co	-1	relation	1052	8	143072	0	0	4244	4244
pso	ttaslock.yml	base	-1	ext	-1	relation	1052	45486	143072	0	0	186156	143072
pso	ttaslock.yml	base	-1	fr	-1	relation	1052	10	143072	0	0	4252	4252
pso	ttaslock.yml	base	-1	loc	-1	relation	1052	1054746	143072	0	0	4223196	143072
pso	ttaslock.yml	base	-1	po	-1	relation	1052	525879	143072	0	0	2107728	143072
pso	ttaslock.yml	base	-1	rf	-1	relation	1052	1026	143072	0	0	8316	8316
pso	ttaslock.yml	base	-1	rmw	-1	relation	1052	1	143072	0	0	4216	4216
pso	ttaslock.yml	base	-1	tc	-1	relation	1052	3	143072	0	0	4224	4224
pso	ttaslock.yml	base	-1	tj	-1	relation	1052	1	143072	0	0	4216	4216
pso	ttaslock.yml	predicate	0	com	2	relation	1052	1032	143072	1024	0	8340	8340
pso	ttaslock.yml	predicate	1	ww_loc	5	relation	1052	1	143072	1024	0	4216	4216
pso	ttaslock.yml	predicate	2	ppo	2	relation	1052	522757	143072	1024	0	2095240	143072
pso	ttaslock.yml	predicate	3	lifecycle	2	relation	1052	2094	143072	1024	0	12588	12588
pso	ttaslock.yml	predicate	4	order	2	relation	1052	525881	143072	1024	0	2107736	143072
pso	ttaslock.yml	predicate	5	reach	12	relation	1052	1056830	143072	1024	0	4231532	143072
pso	ttaslock.yml	predicate	6	rf	0	relation	1052	1026	143072	0	0	8316	8316
pso	ttaslock.yml	predicate	7	ext	0	relation	1052	45486	143072	0	0	186156	143072
pso	ttaslock.yml	predicate	8	rfe	5	relation	1052	1025	143072	1024	0	8312	8312
pso	ttaslock.yml	predicate	9	fr	0	relation	1052	10	143072	0	0	4252	4252
pso	ttaslock.yml	predicate	10	co	0	relation	1052	8	143072	0	0	4244	4244
pso	ttaslock.yml	predicate	11	W	0	set	1052	13	136	0	0	132	132
pso	ttaslock.yml	predicate	12	po	0	relation	1052	525879	143072	0	0	2107728	143072
pso	ttaslock.yml	predicate	13	loc	0	relation	1052	1054746	143072	0	0	4223196	143072
pso	ttaslock.yml	predicate	14	R	0	set	1052	1026	136	0	0	132	132
pso	ttaslock.yml	predicate	15	F	0	set	1052	0	136	0	0	132	132
pso	ttaslock.yml	predicate	16	SC	0	set	1052	1026	136	0	0	132	132
pso	ttaslock.yml	predicate	17	tc	0	relation	1052	3	143072	0	0	4224	4224
pso	ttaslock.yml	predicate	18	tj	0	relation	1052	1	143072	0	0	4216	4216
pso	ttaslock.yml	predicate	19	rmw	0	relation	1052	1	143072	0	0	4216	4216
pso	ttaslock.yml	predicate	20	fre	5	relation	1052	4	143072	1024	0	4228	4228
pso	ttaslock.yml	predicate	21	coe	5	relation	1052	7	143072	1024	0	4240	4240
pso	ttaslock.yml	predicate	22	$n0	2	relation	1052	1028	143072	1024	0	8324	8324
pso	ttaslock.yml	predicate	23	$n1	7	relation	1052	13	143072	1024	0	4264	4264
pso	ttaslock.yml	predicate	24	$n2	3	relation	1052	31	143072	1024	0	4336	4336
pso	ttaslock.yml	predicate	25	$n3	7	relation	1052	13	143072	1024	0	4264	4264
pso	ttaslock.yml	predicate	26	$n4	3	relation	1052	9	143072	1024	0	4248	4248
pso	ttaslock.yml	predicate	27	$n5	7	relation	1052	1026	143072	1024	0	8316	8316
pso	ttaslock.yml	predicate	28	$n6	3	relation	1052	522757	143072	1024	0	2095240	143072
pso	ttaslock.yml	predicate	29	$n7	2	relation	1052	522757	143072	1024	0	2095240	143072
pso	ttaslock.yml	predicate	30	$n8	7	relation	1052	0	143072	1024	0	4212	4212
pso	ttaslock.yml	predicate	31	$n9	3	relation	1052	0	143072	1024	0	4212	4212
pso	ttaslock.yml	predicate	32	$n10	3	relation	1052	0	143072	1024	0	4212	4212
