task	source	multi_input	data_nondeterminism	rules	has_abort_assume	has_atomic_compat	has_rwlock_initializer
c/goblint-regression/13-privatized_20-publish-regression_true.yml	c/goblint-regression/13-privatized_20-publish-regression_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.c	False	True		False	False	False
c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	c/goblint-regression/13-privatized_24-multiple-protecting_true.c	False	False		False	False	False
c/weaver/test-semi1.wvr.yml	c/weaver/test-semi1.wvr.c	False	True		True	False	False
c/weaver/popl20-figure1.wvr.yml	c/weaver/popl20-figure1.wvr.c	False	True		True	False	False
c/weaver/test-easy11.wvr.yml	c/weaver/test-easy11.wvr.c	False	True		True	False	False
c/weaver/bench-exp1x3.wvr.yml	c/weaver/bench-exp1x3.wvr.c	False	True		True	False	False
c/weaver/test-easy7.wvr.yml	c/weaver/test-easy7.wvr.c	False	True		True	True	False
c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	c/goblint-regression/36-apron_21-traces-cluster-based_true.c	False	True		False	False	False
c/weaver/test-easy1.wvr.yml	c/weaver/test-easy1.wvr.c	False	True		True	True	False
c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.c	False	True		True	False	False
c/weaver/popl20-figure1-alt.wvr.yml	c/weaver/popl20-figure1-alt.wvr.c	False	True		True	False	False
c/weaver/mult-comm.wvr.yml	c/weaver/mult-comm.wvr.c	False	True		True	True	False
c/weaver/popl20-figure3.wvr.yml	c/weaver/popl20-figure3.wvr.c	False	True		True	False	False
c/weaver/security.wvr.yml	c/weaver/security.wvr.c	False	True		True	True	False
c/weaver/test-easy8.wvr.yml	c/weaver/test-easy8.wvr.c	False	True		True	True	False
c/weaver/test-easy6.wvr.yml	c/weaver/test-easy6.wvr.c	False	False	abort-assume-definition	True	False	False
c/weaver/parallel-misc-2-unrolled.wvr.yml	c/weaver/parallel-misc-2-unrolled.wvr.c	False	True		True	False	False
c/weaver/popl20-nonblocking-cntr.wvr.yml	c/weaver/popl20-nonblocking-cntr.wvr.c	False	True		True	True	False
c/weaver/parallel-simple-equiv.wvr.yml	c/weaver/parallel-simple-equiv.wvr.c	False	True		True	False	False
c/weaver/parallel-misc-3.wvr.yml	c/weaver/parallel-misc-3.wvr.c	False	True		True	False	False
c/weaver/parallel-ticket-2.wvr.yml	c/weaver/parallel-ticket-2.wvr.c	False	True		True	False	False
c/weaver/popl20-nonblocking-cntr-alt.wvr.yml	c/weaver/popl20-nonblocking-cntr-alt.wvr.c	False	True		True	True	False
c/weaver/mult-dist.wvr.yml	c/weaver/mult-dist.wvr.c	False	True		True	True	False
c/weaver/chl-sre-symm.wvr.yml	c/weaver/chl-sre-symm.wvr.c	False	True		True	True	False
c/weaver/clever.wvr.yml	c/weaver/clever.wvr.c	False	True		True	False	False
c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	c/goblint-regression/13-privatized_27-multiple-protecting2_true.c	False	False		False	False	False
c/weaver/popl20-more-nonblocking-counter-alt2.wvr.yml	c/weaver/popl20-more-nonblocking-counter-alt2.wvr.c	False	True		True	True	False
c/weaver/mult-flipped-dist.wvr.yml	c/weaver/mult-flipped-dist.wvr.c	False	True		True	True	False
c/weaver/popl20-counter-determinism.wvr.yml	c/weaver/popl20-counter-determinism.wvr.c	False	True		True	False	False
c/weaver/popl20-difference-det.wvr.yml	c/weaver/popl20-difference-det.wvr.c	False	True		True	False	False
c/weaver/parallel-misc-2.wvr.yml	c/weaver/parallel-misc-2.wvr.c	False	True		True	False	False
c/weaver/parallel-misc-4.wvr.yml	c/weaver/parallel-misc-4.wvr.c	False	True		True	False	False
c/weaver/parallel-misc-2-unrolled-atomic.wvr.yml	c/weaver/parallel-misc-2-unrolled-atomic.wvr.c	False	True		True	True	False
c/weaver/bench-exp2x3.wvr.yml	c/weaver/bench-exp2x3.wvr.c	False	True		True	False	False
c/weaver/chl-sre-trans.wvr.yml	c/weaver/chl-sre-trans.wvr.c	False	True		True	True	False
c/weaver/parallel-ticket-3.wvr.yml	c/weaver/parallel-ticket-3.wvr.c	False	True		True	False	False
c/weaver/spaghetti.wvr.yml	c/weaver/spaghetti.wvr.c	False	True		True	False	False
c/weaver/bench-exp2x4.wvr.yml	c/weaver/bench-exp2x4.wvr.c	False	True		True	False	False
c/weaver/chl-sre-subst.wvr.yml	c/weaver/chl-sre-subst.wvr.c	False	True		True	True	False
c/weaver/parallel-misc-3-extended.wvr.yml	c/weaver/parallel-misc-3-extended.wvr.c	False	True		True	False	False
c/weaver/chl-simpl-str-symm.wvr.yml	c/weaver/chl-simpl-str-symm.wvr.c	False	True		True	True	False
c/weaver/parallel-bluetooth.wvr.yml	c/weaver/parallel-bluetooth.wvr.c	False	True		True	False	False
c/weaver/popl20-bad-threaded-sum-2.wvr.yml	c/weaver/popl20-bad-threaded-sum-2.wvr.c	False	True		True	True	False
c/weaver/bench-exp2x6.wvr.yml	c/weaver/bench-exp2x6.wvr.c	False	True		True	False	False
c/weaver/test-easy10.wvr.yml	c/weaver/test-easy10.wvr.c	False	True		True	False	False
c/weaver/parallel-ticket-4.wvr.yml	c/weaver/parallel-ticket-4.wvr.c	False	True		True	False	False
c/weaver/parallel-bakery-2.wvr.yml	c/weaver/parallel-bakery-2.wvr.c	False	True		True	False	False
c/weaver/array-eq-symm.wvr.yml	c/weaver/array-eq-symm.wvr.c	False	True		True	True	False
c/weaver/popl20-mult-equiv.wvr.yml	c/weaver/popl20-mult-equiv.wvr.c	False	True		True	True	False
c/weaver/fibonacci.wvr.yml	c/weaver/fibonacci.wvr.c	False	True		True	True	False
c/weaver/popl20-proofs-counter-add-4-semi-Q67.wvr.yml	c/weaver/popl20-proofs-counter-add-4-semi-Q67.wvr.c	False	True		True	True	False
c/weaver/popl20-mult-4.wvr.yml	c/weaver/popl20-mult-4.wvr.c	False	True		True	True	False
c/weaver/chl-time-symm.wvr.yml	c/weaver/chl-time-symm.wvr.c	False	True		True	True	False
c/weaver/chl-file-item-symm.wvr.yml	c/weaver/chl-file-item-symm.wvr.c	False	True		True	True	False
c/weaver/bench-exp3x3.wvr.yml	c/weaver/bench-exp3x3.wvr.c	False	True		True	False	False
c/weaver/chl-simpl-str-trans.wvr.yml	c/weaver/chl-simpl-str-trans.wvr.c	False	True		True	True	False
c/weaver/popl20-channel-sum.wvr.yml	c/weaver/popl20-channel-sum.wvr.c	False	True		True	False	False
c/weaver/bench-exp2x9.wvr.yml	c/weaver/bench-exp2x9.wvr.c	False	True		True	False	False
c/weaver/popl20-bad-counter-queue.wvr.yml	c/weaver/popl20-bad-counter-queue.wvr.c	False	True		True	False	False
c/weaver/unroll-2.wvr.yml	c/weaver/unroll-2.wvr.c	False	True		True	True	False
c/weaver/test-context1.wvr.yml	c/weaver/test-context1.wvr.c	False	True		True	True	False
c/weaver/popl20-simple-queue.wvr.yml	c/weaver/popl20-simple-queue.wvr.c	False	True		True	True	False
c/weaver/chl-match-symm.wvr.yml	c/weaver/chl-match-symm.wvr.c	False	True		True	True	False
c/weaver/chl-simpl-str-subst.wvr.yml	c/weaver/chl-simpl-str-subst.wvr.c	False	True		True	True	False
c/weaver/popl20-more-sorted.wvr.yml	c/weaver/popl20-more-sorted.wvr.c	False	True		True	True	False
c/weaver/popl20-more-sum-array-hom.wvr.yml	c/weaver/popl20-more-sum-array-hom.wvr.c	False	True		True	True	False
c/weaver/parallel-ticket-5.wvr.yml	c/weaver/parallel-ticket-5.wvr.c	False	True		True	False	False
c/weaver/unroll-cond-2.wvr.yml	c/weaver/unroll-cond-2.wvr.c	False	True		True	True	False
c/weaver/chl-exp-term-symm.wvr.yml	c/weaver/chl-exp-term-symm.wvr.c	False	True		True	True	False
c/weaver/popl20-simple-array-sum.wvr.yml	c/weaver/popl20-simple-array-sum.wvr.c	False	True		True	False	False
c/weaver/popl20-more-array-sum-alt.wvr.yml	c/weaver/popl20-more-array-sum-alt.wvr.c	False	True		True	False	False
c/weaver/popl20-more-min-le-max.wvr.yml	c/weaver/popl20-more-min-le-max.wvr.c	False	True		True	True	False
c/weaver/unroll-3.wvr.yml	c/weaver/unroll-3.wvr.c	False	True		True	True	False
c/weaver/popl20-more-array-sum.wvr.yml	c/weaver/popl20-more-array-sum.wvr.c	False	True		True	False	False
c/weaver/chl-chromosome-opt-symm.wvr.yml	c/weaver/chl-chromosome-opt-symm.wvr.c	False	True		True	True	False
c/weaver/popl20-more-max-array.wvr.yml	c/weaver/popl20-more-max-array.wvr.c	False	True		True	True	False
c/weaver/popl20-more-min-array.wvr.yml	c/weaver/popl20-more-min-array.wvr.c	False	True		True	True	False
c/weaver/unroll-4.wvr.yml	c/weaver/unroll-4.wvr.c	False	True		True	True	False
c/weaver/popl20-bad-counter-queue2.wvr.yml	c/weaver/popl20-bad-counter-queue2.wvr.c	False	True		True	True	False
c/weaver/popl20-bad-three-array-sum-alt.wvr.yml	c/weaver/popl20-bad-three-array-sum-alt.wvr.c	False	True		True	True	False
c/weaver/bench-exp3x3-opt.wvr.yml	c/weaver/bench-exp3x3-opt.wvr.c	False	True		True	True	False
c/weaver/popl20-more-max-array-hom.wvr.yml	c/weaver/popl20-more-max-array-hom.wvr.c	False	True		True	True	False
c/weaver/popl20-more-min-array-hom.wvr.yml	c/weaver/popl20-more-min-array-hom.wvr.c	False	True		True	True	False
c/weaver/parallel-min-max-1.wvr.yml	c/weaver/parallel-min-max-1.wvr.c	False	True		True	False	False
c/weaver/loop-tiling-eq.wvr.yml	c/weaver/loop-tiling-eq.wvr.c	False	True		True	True	False
c/weaver/chl-array-int-symm.wvr.yml	c/weaver/chl-array-int-symm.wvr.c	False	True		True	True	False
c/weaver/unroll-cond-3.wvr.yml	c/weaver/unroll-cond-3.wvr.c	False	True		True	True	False
c/weaver/unroll-5.wvr.yml	c/weaver/unroll-5.wvr.c	False	True		True	True	False
c/weaver/popl20-send-receive-alt.wvr.yml	c/weaver/popl20-send-receive-alt.wvr.c	False	True		True	True	False
c/weaver/popl20-more-vector-add.wvr.yml	c/weaver/popl20-more-vector-add.wvr.c	False	True		True	True	False
c/weaver/popl20-threaded-sum-3.wvr.yml	c/weaver/popl20-threaded-sum-3.wvr.c	False	True		True	True	False
c/weaver/parallel-ticket-6.wvr.yml	c/weaver/parallel-ticket-6.wvr.c	False	True		True	False	False
c/weaver/popl20-counter-fun.wvr.yml	c/weaver/popl20-counter-fun.wvr.c	False	True		True	True	False
c/weaver/chl-file-item-trans.wvr.yml	c/weaver/chl-file-item-trans.wvr.c	False	True		True	True	False
c/weaver/popl20-more-array-sum-alt2.wvr.yml	c/weaver/popl20-more-array-sum-alt2.wvr.c	False	True		True	True	False
c/weaver/popl20-queue-add-2.wvr.yml	c/weaver/popl20-queue-add-2.wvr.c	False	True		True	True	False
c/weaver/popl20-min-max-inc.wvr.yml	c/weaver/popl20-min-max-inc.wvr.c	False	True		True	False	False
c/weaver/popl20-min-max-dec.wvr.yml	c/weaver/popl20-min-max-dec.wvr.c	False	True		True	False	False
c/weaver/popl20-more-mts.wvr.yml	c/weaver/popl20-more-mts.wvr.c	False	True		True	True	False
c/weaver/chl-time-trans.wvr.yml	c/weaver/chl-time-trans.wvr.c	False	True		True	True	False
c/weaver/parallel-misc-5.wvr.yml	c/weaver/parallel-misc-5.wvr.c	False	True		True	True	False
c/weaver/array-eq-trans.wvr.yml	c/weaver/array-eq-trans.wvr.c	False	True		True	True	False
c/weaver/chl-time-subst.wvr.yml	c/weaver/chl-time-subst.wvr.c	False	True		True	True	False
c/weaver/popl20-three-array-sum.wvr.yml	c/weaver/popl20-three-array-sum.wvr.c	False	True		True	True	False
c/weaver/popl20-more-array-sum2.wvr.yml	c/weaver/popl20-more-array-sum2.wvr.c	False	True		True	True	False
c/weaver/unroll-cond-4.wvr.yml	c/weaver/unroll-cond-4.wvr.c	False	True		True	True	False
c/weaver/chl-match-trans.wvr.yml	c/weaver/chl-match-trans.wvr.c	False	True		True	True	False
c/weaver/chl-collitem-symm.wvr.yml	c/weaver/chl-collitem-symm.wvr.c	False	True		True	True	False
c/weaver/chl-chromosome-symm.wvr.yml	c/weaver/chl-chromosome-symm.wvr.c	False	True		True	True	False
c/weaver/chl-word-symm.wvr.yml	c/weaver/chl-word-symm.wvr.c	False	True		True	True	False
c/weaver/popl20-more-queue-add-2-nl.wvr.yml	c/weaver/popl20-more-queue-add-2-nl.wvr.c	False	True		True	True	False
c/weaver/chl-file-item-subst.wvr.yml	c/weaver/chl-file-item-subst.wvr.c	False	True		True	True	False
c/weaver/chl-match-subst.wvr.yml	c/weaver/chl-match-subst.wvr.c	False	True		True	True	False
c/weaver/chl-array-int-trans.wvr.yml	c/weaver/chl-array-int-trans.wvr.c	False	True		True	True	False
c/weaver/parallel-ticket-7.wvr.yml	c/weaver/parallel-ticket-7.wvr.c	False	True		True	False	False
c/weaver/popl20-min-max-inc-dec.wvr.yml	c/weaver/popl20-min-max-inc-dec.wvr.c	False	True		True	False	False
c/weaver/parallel-misc-1.wvr.yml	c/weaver/parallel-misc-1.wvr.c	False	True		True	False	False
c/weaver/popl20-more-dec-subseq.wvr.yml	c/weaver/popl20-more-dec-subseq.wvr.c	False	True		True	True	False
c/weaver/popl20-more-inc-subseq.wvr.yml	c/weaver/popl20-more-inc-subseq.wvr.c	False	True		True	True	False
c/weaver/chl-exp-term-subst.wvr.yml	c/weaver/chl-exp-term-subst.wvr.c	False	True		True	True	False
c/weaver/chl-array-int-subst.wvr.yml	c/weaver/chl-array-int-subst.wvr.c	False	True		True	True	False
c/weaver/unroll-cond-5.wvr.yml	c/weaver/unroll-cond-5.wvr.c	False	True		True	True	False
c/weaver/popl20-three-array-min.wvr.yml	c/weaver/popl20-three-array-min.wvr.c	False	True		True	True	False
c/weaver/popl20-two-queue.wvr.yml	c/weaver/popl20-two-queue.wvr.c	False	True		True	True	False
c/weaver/popl20-three-array-max.wvr.yml	c/weaver/popl20-three-array-max.wvr.c	False	True		True	True	False
c/weaver/parallel-lamport.wvr.yml	c/weaver/parallel-lamport.wvr.c	False	True		True	False	False
c/weaver/popl20-bad-dot-product.wvr.yml	c/weaver/popl20-bad-dot-product.wvr.c	False	True		True	True	False
c/weaver/popl20-prod-cons.wvr.yml	c/weaver/popl20-prod-cons.wvr.c	False	True		True	True	False
c/weaver/parallel-barrier.wvr.yml	c/weaver/parallel-barrier.wvr.c	False	True		True	False	False
c/weaver/popl20-more-multiply-verify.wvr.yml	c/weaver/popl20-more-multiply-verify.wvr.c	False	True		True	True	False
c/weaver/test-hard1.wvr.yml	c/weaver/test-hard1.wvr.c	False	True		True	True	False
c/weaver/popl20-send-receive.wvr.yml	c/weaver/popl20-send-receive.wvr.c	False	True		True	True	False
c/weaver/parallel-ticket-8.wvr.yml	c/weaver/parallel-ticket-8.wvr.c	False	True		True	False	False
c/weaver/chl-chromosome-trans.wvr.yml	c/weaver/chl-chromosome-trans.wvr.c	False	True		True	True	False
c/weaver/chl-chromosome-subst.wvr.yml	c/weaver/chl-chromosome-subst.wvr.c	False	True		True	True	False
c/weaver/chl-word-trans.wvr.yml	c/weaver/chl-word-trans.wvr.c	False	True		True	True	False
c/weaver/parallel-bakery-3.wvr.yml	c/weaver/parallel-bakery-3.wvr.c	False	True		True	False	False
c/weaver/popl20-bad-dot-product-alt.wvr.yml	c/weaver/popl20-bad-dot-product-alt.wvr.c	False	True		True	True	False
c/weaver/chl-collitem-trans.wvr.yml	c/weaver/chl-collitem-trans.wvr.c	False	True		True	True	False
c/weaver/chl-word-subst.wvr.yml	c/weaver/chl-word-subst.wvr.c	False	True		True	True	False
c/weaver/chl-collitem-subst.wvr.yml	c/weaver/chl-collitem-subst.wvr.c	False	True		True	True	False
c/weaver/popl20-queue-add-3.wvr.yml	c/weaver/popl20-queue-add-3.wvr.c	False	True		True	True	False
c/weaver/popl20-horseshoe.wvr.yml	c/weaver/popl20-horseshoe.wvr.c	False	True		True	True	False
c/weaver/parallel-barrier-loop.wvr.yml	c/weaver/parallel-barrier-loop.wvr.c	False	True		True	False	False
c/weaver/popl20-more-queue-add-3-nl.wvr.yml	c/weaver/popl20-more-queue-add-3-nl.wvr.c	False	True		True	True	False
c/weaver/chl-node-symm.wvr.yml	c/weaver/chl-node-symm.wvr.c	False	True		True	True	False
c/weaver/parallel-parallel-sum-1.wvr.yml	c/weaver/parallel-parallel-sum-1.wvr.c	False	True		True	True	False
c/weaver/parallel-parallel-sum-equiv.wvr.yml	c/weaver/parallel-parallel-sum-equiv.wvr.c	False	True		True	True	False
c/weaver/popl20-bad-ring.wvr.yml	c/weaver/popl20-bad-ring.wvr.c	False	True		True	True	False
c/weaver/chl-name-comparator-symm.wvr.yml	c/weaver/chl-name-comparator-symm.wvr.c	False	True		True	True	False
c/weaver/popl20-prod-cons3.wvr.yml	c/weaver/popl20-prod-cons3.wvr.c	False	True		True	True	False
c/weaver/popl20-bad-ring-nondet.wvr.yml	c/weaver/popl20-bad-ring-nondet.wvr.c	False	True		True	True	False
c/weaver/popl20-more-buffer-mult2.wvr.yml	c/weaver/popl20-more-buffer-mult2.wvr.c	False	True		True	True	False
c/weaver/popl20-bad-buffer-mult-alt2.wvr.yml	c/weaver/popl20-bad-buffer-mult-alt2.wvr.c	False	True		True	True	False
c/weaver/popl20-more-buffer-mult.wvr.yml	c/weaver/popl20-more-buffer-mult.wvr.c	False	True		True	True	False
c/weaver/popl20-more-buffer-mult3.wvr.yml	c/weaver/popl20-more-buffer-mult3.wvr.c	False	True		True	True	False
c/weaver/popl20-more-buffer-series2.wvr.yml	c/weaver/popl20-more-buffer-series2.wvr.c	False	True		True	True	False
c/weaver/chl-node-trans.wvr.yml	c/weaver/chl-node-trans.wvr.c	False	True		True	True	False
c/weaver/parallel-parallel-sum-2.wvr.yml	c/weaver/parallel-parallel-sum-2.wvr.c	False	True		True	True	False
c/weaver/chl-node-subst.wvr.yml	c/weaver/chl-node-subst.wvr.c	False	True		True	True	False
c/weaver/popl20-bad-buffer-mult-alt.wvr.yml	c/weaver/popl20-bad-buffer-mult-alt.wvr.c	False	True		True	True	False
c/weaver/popl20-bad-buffer-mult-alt3.wvr.yml	c/weaver/popl20-bad-buffer-mult-alt3.wvr.c	False	True		True	True	False
c/weaver/popl20-more-buffer-series.wvr.yml	c/weaver/popl20-more-buffer-series.wvr.c	False	True		True	True	False
c/weaver/popl20-more-buffer-series3.wvr.yml	c/weaver/popl20-more-buffer-series3.wvr.c	False	True		True	True	False
c/weaver/parallel-parallel-sum-1-dsl.wvr.yml	c/weaver/parallel-parallel-sum-1-dsl.wvr.c	False	True		True	True	False
c/weaver/popl20-commit-1.wvr.yml	c/weaver/popl20-commit-1.wvr.c	False	True		True	True	False
c/weaver/parallel-bakery-4.wvr.yml	c/weaver/parallel-bakery-4.wvr.c	False	True		True	False	False
c/weaver/popl20-prod-cons-eq.wvr.yml	c/weaver/popl20-prod-cons-eq.wvr.c	False	True		True	True	False
c/weaver/chl-name-comparator-trans.wvr.yml	c/weaver/chl-name-comparator-trans.wvr.c	False	True		True	True	False
c/weaver/chl-name-comparator-subst.wvr.yml	c/weaver/chl-name-comparator-subst.wvr.c	False	True		True	True	False
c/weaver/chl-nzb-file-symm.wvr.yml	c/weaver/chl-nzb-file-symm.wvr.c	False	True		True	True	False
c/weaver/popl20-bad-commit-1.wvr-bad.yml	c/weaver/popl20-bad-commit-1.wvr-bad.c	False	True		True	True	False
c/weaver/popl20-commit-2.wvr.yml	c/weaver/popl20-commit-2.wvr.c	False	True		True	True	False
c/weaver/chl-nzb-file-trans.wvr.yml	c/weaver/chl-nzb-file-trans.wvr.c	False	True		True	True	False
c/weaver/popl20-bad-commit-2.wvr-bad.yml	c/weaver/popl20-bad-commit-2.wvr-bad.c	False	True		True	True	False
c/weaver/chl-nzb-file-subst.wvr.yml	c/weaver/chl-nzb-file-subst.wvr.c	False	True		True	True	False
c/weaver/chl-poker-hand-symm.wvr.yml	c/weaver/chl-poker-hand-symm.wvr.c	False	True		True	True	False
c/weaver/chl-poker-hand-trans.wvr.yml	c/weaver/chl-poker-hand-trans.wvr.c	False	True		True	True	False
c/weaver/chl-poker-hand-subst.wvr.yml	c/weaver/chl-poker-hand-subst.wvr.c	False	True		True	True	False
c/pthread-ext/28_buggy_simple_loop1_vf.yml	c/pthread-ext/28_buggy_simple_loop1_vf.c	False	True		False	False	False
c/pthread-atomic/read_write_lock-1.yml	c/pthread-atomic/read_write_lock-1.c	False	False		False	False	True
c/pthread-ext/14_spin2003.yml	c/pthread-ext/14_spin2003.c	False	False		False	False	False
c/pthread-ext/29_conditionals_vs.yml	c/pthread-ext/29_conditionals_vs.c	False	True		True	False	False
c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.c	False	True		False	True	False
c/pthread-ext/46_monabsex2_vs.yml	c/pthread-ext/46_monabsex2_vs.c	False	False		False	True	False
c/pthread-ext/45_monabsex1_vs.yml	c/pthread-ext/45_monabsex1_vs.c	False	True		False	True	False
c/pthread-divine/tls_destructor_worker.yml	c/pthread-divine/tls_destructor_worker.c	False	False		False	False	False
c/pthread-ext/31_simple_loop5_vs.yml	c/pthread-ext/31_simple_loop5_vs.c	False	False		False	False	False
