capacity-drops	duplicates	empty-skipped	explained	explanation-failures	explanation-ns	hits	learned	log	lookup-ns	model	negative-skipped	queries	rejected	repetition	stored-literals
0	0	0	1	0	301261	0	1	caat-pso.cache.13-privatized_69-refine-protected-loop-interval_true.yml.log	74	pso	0	1	1	01	4
0	0	0	12	0	11877012	72	12	caat-pso.cache.13-privatized_31-traces-mine-vs-mutex_true.yml.log	21082	pso	0	87	6	01	48
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	pso	0	0	0	01	0
0	0	0	8	0	5289200	12	8	caat-pso.cache.13-privatized_20-publish-regression_true.yml.log	4992	pso	0	19	4	01	32
0	0	0	10	0	7693184	21	10	caat-pso.cache.13-privatized_30-traces-oplus-vs-meet_true.yml.log	8366	pso	0	31	5	01	40
0	0	0	1	0	309427	0	1	caat-pso.cache.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	103	pso	0	1	1	01	4
0	0	0	16	0	21819163	62	16	caat-pso.cache.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	23713	pso	0	78	8	01	64
0	0	0	10	0	8214596	5	10	caat-pso.cache.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	3823	pso	0	13	5	01	40
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	pso	0	0	0	01	0
0	0	0	10	0	12947212	68	10	caat-pso.cache.36-apron_21-traces-cluster-based_true.yml.log	22876	pso	0	91	5	01	40
0	0	0	14	0	19858662	75	14	caat-pso.cache.13-privatized_29-multiple-protecting2-vesal_true.yml.log	26361	pso	0	91	7	01	56
0	0	0	2	0	488454	0	2	caat-pso.cache.14_spin2003.yml.log	69	pso	0	1	1	01	8
0	0	0	24	0	90909055	402	24	caat-pso.cache.13-privatized_24-multiple-protecting_true.yml.log	140153	pso	0	432	12	01	96
0	0	0	0	0	0	0	0	caat-pso.cache.29_conditionals_vs.yml.log	0	pso	0	0	0	01	0
0	0	0	6	0	3312608	6	6	caat-pso.cache.46_monabsex2_vs.yml.log	2180	pso	0	9	3	01	24
0	0	0	2	0	507623	0	2	caat-pso.cache.48_ticket_lock_low_contention_vs-pthread.yml.log	86	pso	0	1	1	01	8
0	0	0	4	0	1454747	2	4	caat-pso.cache.45_monabsex1_vs.yml.log	1081	pso	0	4	2	01	16
0	0	0	14	0	17699071	109	14	caat-pso.cache.stateful01-2.yml.log	61970	pso	0	126	8	01	60
0	0	0	6	0	7114686	4	6	caat-pso.cache.stateful01-1.yml.log	5114	pso	0	10	4	01	28
0	0	0	24	0	107746108	1498	24	caat-pso.cache.13-privatized_27-multiple-protecting2_true.yml.log	564850	pso	0	1564	12	01	96
0	0	0	11	0	13318859	13	11	caat-pso.cache.time_var_mutex.yml.log	10086	pso	0	23	7	01	44
0	0	0	6	0	3356518	2	6	caat-pso.cache.01b_inc.yml.log	1339	pso	0	5	3	01	24
0	0	0	0	0	0	0	0	caat-pso.cache.02_inc_cas.yml.log	0	pso	0	0	0	01	0
0	0	0	4	0	3339230	2	4	caat-pso.cache.48_ticket_lock_low_contention_vs.yml.log	1164	pso	0	4	2	01	16
0	0	0	0	0	0	0	0	caat-pso.cache.28-race_reach_45-escape_racing.yml.log	102	pso	0	1	0	01	0
0	0	0	10	0	9730517	21	10	caat-pso.cache.28-race_reach_46-escape_racefree.yml.log	8591	pso	0	29	5	01	40
0	0	0	7	0	6786095	10	7	caat-pso.cache.lazy01.yml.log	7290	pso	0	19	5	01	28
0	0	0	2	0	1783691	0	2	caat-pso.cache.unwind3-1.yml.log	920	pso	0	3	2	01	8
0	0	0	0	0	0	0	0	caat-pso.cache.exponential-nondet.yml.log	0	pso	0	0	0	01	0
0	0	0	23	0	33806809	18	23	caat-pso.cache.dekker-unfair.yml.log	28816	pso	0	37	13	01	112
0	0	0	6	0	2363387	0	6	caat-pso.cache.unwind2-1.yml.log	1196	pso	0	3	3	01	27
0	0	0	19	0	29120760	18	19	caat-pso.cache.dekker.yml.log	25631	pso	0	35	11	01	95
0	0	0	6	0	2384482	0	6	caat-pso.cache.unwind2-100.yml.log	1264	pso	0	3	3	01	27
0	0	0	0	0	0	0	0	caat-pso.cache.43_NetBSD_sysmon_power_sliced.yml.log	0	pso	0	0	0	01	0
0	0	0	84	0	94164292	315	84	caat-pso.cache.szymanski.yml.log	599329	pso	0	378	44	01	526
0	0	0	8	0	19704609	12	8	caat-pso.cache.singleton.yml.log	5321	pso	0	21	4	01	32
0	0	0	42	0	473857825	209	42	caat-pso.cache.circular_buffer_bad.yml.log	406632	pso	0	238	22	01	282
0	0	0	8	0	20699715	55	8	caat-pso.cache.singleton_with-uninit-problems.yml.log	15260	pso	0	68	4	01	32
0	0	0	0	0	0	0	0	caat-pso.cache.pthread-demo-datarace-3.yml.log	2250	pso	0	40	0	01	0
0	0	0	3	0	1131837	1	3	caat-pso.cache.race-1_1-join.yml.log	1070	pso	0	3	2	01	12
0	0	0	9	0	7954473	7	9	caat-pso.cache.race-1_3-join.yml.log	4798	pso	0	13	5	01	36
0	0	0	8	0	116309822	50	8	caat-pso.cache.twostage_3.yml.log	17930	pso	0	74	4	01	32
0	0	0	9	0	7912028	7	9	caat-pso.cache.race-1_2-join.yml.log	4401	pso	0	13	5	01	36
0	0	0	0	0	0	0	0	caat-pso.cache.race-4_1-thread_local_vars.yml.log	0	pso	0	0	0	01	0
0	0	0	0	0	0	0	0	caat-pso.cache.race-2_1-container_of.yml.log	0	pso	0	0	0	01	0
0	0	0	0	0	0	0	0	caat-pso.cache.race-3_1-container_of-global.yml.log	0	pso	0	0	0	01	0
0	0	0	14	0	113550723	6123	14	caat-pso.cache.reorder_2.yml.log	1340000	pso	0	6452	7	01	56
0	0	0	0	0	0	0	0	caat-pso.cache.28-race_reach_21-deref_read_racing.yml.log	0	pso	0	0	0	01	0
0	0	0	8	0	6755095921	10	8	caat-pso.cache.queue_ok.yml.log	8310	pso	0	18	5	01	32
0	0	0	22	0	134764629	241807	22	caat-pso.cache.triangular-2.yml.log	53827937	pso	0	249550	11	01	88
0	0	0	120	0	15794784768	2878	120	caat-pso.cache.queue.yml.log	23366295	pso	0	2959	61	01	1582
0	0	0	20	0	2364030816	47313	20	caat-pso.cache.fib_unsafe-5.yml.log	14346937	pso	0	48728	10	01	80
0	0	0	24	0	173416429	234168	24	caat-pso.cache.butterfly.yml.log	236567892	pso	0	391668	24	01	205
0	0	0	24	0	139445367	1106618	24	caat-pso.cache.triangular-1.yml.log	258541650	pso	0	1138907	12	01	96
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_66-mine-W-init_true.yml.log	0	pso	0	0	0	02	0
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	pso	0	0	0	02	0
0	0	0	2	0	147859	0	2	caat-pso.cache.13-privatized_57-singlethreaded-unlock_true.yml.log	124	pso	0	1	1	02	8
0	0	0	4	0	1040874	6	4	caat-pso.cache.36-apron_11-traces-max-simple_true.yml.log	2163	pso	0	11	2	02	16
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_16-traces-unprot2_true.yml.log	0	pso	0	0	0	02	0
0	0	0	4	0	838577	6	4	caat-pso.cache.13-privatized_47-refine-protected2_true.yml.log	1961	pso	0	11	2	02	16
0	0	0	4	0	795137	2	4	caat-pso.cache.13-privatized_46-refine-protected1_true.yml.log	880	pso	0	4	2	02	16
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	100	pso	0	1	0	02	0
0	0	0	6	0	2240165	3	6	caat-pso.cache.13-privatized_40-traces-ex-6_true.yml.log	1720	pso	0	9	3	02	24
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	pso	0	0	0	02	0
0	0	0	2	0	146353	0	2	caat-pso.cache.13-privatized_58-singlethreaded-lock_true.yml.log	120	pso	0	1	1	02	8
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_18-first-reads_unknown_2_pos.yml.log	77	pso	0	1	0	02	0
0	0	0	4	0	1955471	0	4	caat-pso.cache.13-privatized_44-traces-mine2_true.yml.log	621	pso	0	3	2	02	16
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_18-first-reads_unknown_1_neg.yml.log	53	pso	0	1	0	02	0
0	0	0	8	0	4040078	19	8	caat-pso.cache.13-privatized_36-traces-ex-3_true.yml.log	7022	pso	0	29	4	02	32
0	0	0	4	0	1357750	6	4	caat-pso.cache.13-privatized_18-first-reads_true.yml.log	2745	pso	0	11	2	02	16
0	0	0	10	0	7227084	21	10	caat-pso.cache.13-privatized_35-traces-ex-2_true.yml.log	7938	pso	0	31	5	02	40
0	0	0	10	0	5277854	21	10	caat-pso.cache.13-privatized_37-traces-ex-4_true.yml.log	6222	pso	0	29	5	02	40
0	0	0	10	0	6961986	21	10	caat-pso.cache.13-privatized_38-traces-ex-4-switch_true.yml.log	8463	pso	0	31	5	02	40
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_1_pos.yml.log	132	pso	0	1	0	02	0
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_2_neg.yml.log	52	pso	0	1	0	02	0
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	pso	0	0	0	02	0
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	pso	0	0	0	02	0
0	0	0	4	0	2000163	6	4	caat-pso.cache.13-privatized_01-priv_nr_true.yml.log	2208	pso	0	11	2	02	16
0	0	0	10	0	6640532	21	10	caat-pso.cache.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	8554	pso	0	30	5	02	40
0	0	0	8	0	3944251	25	8	caat-pso.cache.13-privatized_19-publish-precision_true.yml.log	6182	pso	0	35	4	02	32
0	0	0	8	0	5749742	3	8	caat-pso.cache.13-privatized_33-traces-v-matters_true.yml.log	3036	pso	0	11	4	02	32
0	0	0	10	0	7161182	13	10	caat-pso.cache.13-privatized_42-traces-ex-mini_true.yml.log	6310	pso	0	21	5	02	40
0	0	0	4	0	2071804	6	4	caat-pso.cache.13-privatized_25-struct_nr_true.yml.log	2450	pso	0	11	2	02	16
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	pso	0	0	0	02	0
0	0	0	1	0	302338	0	1	caat-pso.cache.13-privatized_69-refine-protected-loop-interval_true.yml.log	69	pso	0	1	1	02	4
0	0	0	12	0	11898144	72	12	caat-pso.cache.13-privatized_31-traces-mine-vs-mutex_true.yml.log	21273	pso	0	87	6	02	48
0	0	0	8	0	5296402	12	8	caat-pso.cache.13-privatized_20-publish-regression_true.yml.log	4796	pso	0	19	4	02	32
0	0	0	16	0	21908674	62	16	caat-pso.cache.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	23357	pso	0	78	8	02	64
0	0	0	10	0	7695586	21	10	caat-pso.cache.13-privatized_30-traces-oplus-vs-meet_true.yml.log	8221	pso	0	31	5	02	40
0	0	0	1	0	292660	0	1	caat-pso.cache.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	109	pso	0	1	1	02	4
0	0	0	10	0	8325406	5	10	caat-pso.cache.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	3779	pso	0	13	5	02	40
0	0	0	14	0	19805500	75	14	caat-pso.cache.13-privatized_29-multiple-protecting2-vesal_true.yml.log	26014	pso	0	91	7	02	56
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	pso	0	0	0	02	0
0	0	0	10	0	12982555	68	10	caat-pso.cache.36-apron_21-traces-cluster-based_true.yml.log	23384	pso	0	91	5	02	40
0	0	0	24	0	92159047	402	24	caat-pso.cache.13-privatized_24-multiple-protecting_true.yml.log	139778	pso	0	432	12	02	96
0	0	0	2	0	482146	0	2	caat-pso.cache.14_spin2003.yml.log	107	pso	0	1	1	02	8
0	0	0	2	0	421203	0	2	caat-pso.cache.48_ticket_lock_low_contention_vs-pthread.yml.log	79	pso	0	1	1	02	8
0	0	0	0	0	0	0	0	caat-pso.cache.29_conditionals_vs.yml.log	0	pso	0	0	0	02	0
0	0	0	6	0	3303443	6	6	caat-pso.cache.46_monabsex2_vs.yml.log	2336	pso	0	9	3	02	24
0	0	0	4	0	1384270	2	4	caat-pso.cache.45_monabsex1_vs.yml.log	1184	pso	0	4	2	02	16
0	0	0	6	0	6894850	4	6	caat-pso.cache.stateful01-1.yml.log	4586	pso	0	10	4	02	28
0	0	0	24	0	107739553	1498	24	caat-pso.cache.13-privatized_27-multiple-protecting2_true.yml.log	581520	pso	0	1564	12	02	96
0	0	0	6	0	3341153	2	6	caat-pso.cache.01b_inc.yml.log	1463	pso	0	5	3	02	24
0	0	0	11	0	13139971	13	11	caat-pso.cache.time_var_mutex.yml.log	9970	pso	0	23	7	02	44
0	0	0	14	0	17123023	109	14	caat-pso.cache.stateful01-2.yml.log	61187	pso	0	126	8	02	60
0	0	0	0	0	0	0	0	caat-pso.cache.02_inc_cas.yml.log	0	pso	0	0	0	02	0
0	0	0	4	0	3341019	2	4	caat-pso.cache.48_ticket_lock_low_contention_vs.yml.log	1163	pso	0	4	2	02	16
0	0	0	10	0	9691553	21	10	caat-pso.cache.28-race_reach_46-escape_racefree.yml.log	7920	pso	0	29	5	02	40
0	0	0	0	0	0	0	0	caat-pso.cache.28-race_reach_45-escape_racing.yml.log	69	pso	0	1	0	02	0
0	0	0	7	0	6780018	10	7	caat-pso.cache.lazy01.yml.log	7299	pso	0	19	5	02	28
0	0	0	2	0	1783929	0	2	caat-pso.cache.unwind3-1.yml.log	848	pso	0	3	2	02	8
0	0	0	19	0	29180547	18	19	caat-pso.cache.dekker.yml.log	26298	pso	0	35	11	02	95
0	0	0	0	0	0	0	0	caat-pso.cache.exponential-nondet.yml.log	0	pso	0	0	0	02	0
0	0	0	6	0	2378468	0	6	caat-pso.cache.unwind2-1.yml.log	1223	pso	0	3	3	02	27
0	0	0	23	0	33778836	18	23	caat-pso.cache.dekker-unfair.yml.log	32152	pso	0	37	13	02	112
0	0	0	6	0	2377027	0	6	caat-pso.cache.unwind2-100.yml.log	1176	pso	0	3	3	02	27
0	0	0	0	0	0	0	0	caat-pso.cache.43_NetBSD_sysmon_power_sliced.yml.log	0	pso	0	0	0	02	0
0	0	0	84	0	94593928	315	84	caat-pso.cache.szymanski.yml.log	595166	pso	0	378	44	02	526
0	0	0	42	0	476517076	209	42	caat-pso.cache.circular_buffer_bad.yml.log	384389	pso	0	238	22	02	282
0	0	0	8	0	19748423	12	8	caat-pso.cache.singleton.yml.log	5612	pso	0	21	4	02	32
0	0	0	8	0	19472243	55	8	caat-pso.cache.singleton_with-uninit-problems.yml.log	15538	pso	0	68	4	02	32
0	0	0	0	0	0	0	0	caat-pso.cache.pthread-demo-datarace-3.yml.log	2339	pso	0	40	0	02	0
0	0	0	3	0	1139373	1	3	caat-pso.cache.race-1_1-join.yml.log	1068	pso	0	3	2	02	12
0	0	0	9	0	7906168	7	9	caat-pso.cache.race-1_3-join.yml.log	4520	pso	0	13	5	02	36
0	0	0	8	0	149483048	50	8	caat-pso.cache.twostage_3.yml.log	23381	pso	0	74	4	02	32
0	0	0	9	0	7910985	7	9	caat-pso.cache.race-1_2-join.yml.log	4593	pso	0	13	5	02	36
0	0	0	0	0	0	0	0	caat-pso.cache.race-2_1-container_of.yml.log	0	pso	0	0	0	02	0
0	0	0	0	0	0	0	0	caat-pso.cache.race-4_1-thread_local_vars.yml.log	0	pso	0	0	0	02	0
0	0	0	14	0	95023834	6123	14	caat-pso.cache.reorder_2.yml.log	1251485	pso	0	6452	7	02	56
0	0	0	0	0	0	0	0	caat-pso.cache.race-3_1-container_of-global.yml.log	0	pso	0	0	0	02	0
0	0	0	0	0	0	0	0	caat-pso.cache.28-race_reach_21-deref_read_racing.yml.log	0	pso	0	0	0	02	0
0	0	0	8	0	6729362117	10	8	caat-pso.cache.queue_ok.yml.log	8167	pso	0	18	5	02	32
0	0	0	22	0	133034712	241807	22	caat-pso.cache.triangular-2.yml.log	53499638	pso	0	249550	11	02	88
0	0	0	120	0	15758955868	2878	120	caat-pso.cache.queue.yml.log	23480372	pso	0	2959	61	02	1582
0	0	0	20	0	2348298519	47313	20	caat-pso.cache.fib_unsafe-5.yml.log	14666600	pso	0	48728	10	02	80
0	0	0	24	0	173802891	234168	24	caat-pso.cache.butterfly.yml.log	231997887	pso	0	391668	24	02	205
0	0	0	24	0	139133524	1106618	24	caat-pso.cache.triangular-1.yml.log	255973102	pso	0	1138907	12	02	96
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_66-mine-W-init_true.yml.log	0	pso	0	0	0	03	0
0	0	0	2	0	119294	0	2	caat-pso.cache.13-privatized_57-singlethreaded-unlock_true.yml.log	73	pso	0	1	1	03	8
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_16-traces-unprot2_true.yml.log	0	pso	0	0	0	03	0
0	0	0	4	0	880245	6	4	caat-pso.cache.13-privatized_47-refine-protected2_true.yml.log	2104	pso	0	11	2	03	16
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	pso	0	0	0	03	0
0	0	0	4	0	1103140	2	4	caat-pso.cache.13-privatized_46-refine-protected1_true.yml.log	1229	pso	0	4	2	03	16
0	0	0	4	0	1291334	6	4	caat-pso.cache.36-apron_11-traces-max-simple_true.yml.log	2898	pso	0	11	2	03	16
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	132	pso	0	1	0	03	0
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	pso	0	0	0	03	0
0	0	0	6	0	2240894	3	6	caat-pso.cache.13-privatized_40-traces-ex-6_true.yml.log	2138	pso	0	9	3	03	24
0	0	0	2	0	148914	0	2	caat-pso.cache.13-privatized_58-singlethreaded-lock_true.yml.log	110	pso	0	1	1	03	8
0	0	0	4	0	1982379	0	4	caat-pso.cache.13-privatized_44-traces-mine2_true.yml.log	679	pso	0	3	2	03	16
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_18-first-reads_unknown_2_pos.yml.log	85	pso	0	1	0	03	0
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_18-first-reads_unknown_1_neg.yml.log	110	pso	0	1	0	03	0
0	0	0	4	0	1354746	6	4	caat-pso.cache.13-privatized_18-first-reads_true.yml.log	2639	pso	0	11	2	03	16
0	0	0	8	0	4067781	19	8	caat-pso.cache.13-privatized_36-traces-ex-3_true.yml.log	7818	pso	0	29	4	03	32
0	0	0	10	0	5090396	21	10	caat-pso.cache.13-privatized_37-traces-ex-4_true.yml.log	5978	pso	0	29	5	03	40
0	0	0	10	0	6800660	21	10	caat-pso.cache.13-privatized_35-traces-ex-2_true.yml.log	8568	pso	0	31	5	03	40
0	0	0	10	0	6726485	21	10	caat-pso.cache.13-privatized_38-traces-ex-4-switch_true.yml.log	8537	pso	0	31	5	03	40
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_1_pos.yml.log	92	pso	0	1	0	03	0
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	pso	0	0	0	03	0
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_2_neg.yml.log	87	pso	0	1	0	03	0
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	pso	0	0	0	03	0
0	0	0	4	0	2047873	6	4	caat-pso.cache.13-privatized_01-priv_nr_true.yml.log	2396	pso	0	11	2	03	16
0	0	0	8	0	5009230	25	8	caat-pso.cache.13-privatized_19-publish-precision_true.yml.log	8253	pso	0	35	4	03	32
0	0	0	10	0	6714952	21	10	caat-pso.cache.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	9487	pso	0	30	5	03	40
0	0	0	10	0	7183131	13	10	caat-pso.cache.13-privatized_42-traces-ex-mini_true.yml.log	6114	pso	0	21	5	03	40
0	0	0	8	0	5730544	3	8	caat-pso.cache.13-privatized_33-traces-v-matters_true.yml.log	2911	pso	0	11	4	03	32
0	0	0	1	0	298410	0	1	caat-pso.cache.13-privatized_69-refine-protected-loop-interval_true.yml.log	85	pso	0	1	1	03	4
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	pso	0	0	0	03	0
0	0	0	4	0	2636042	6	4	caat-pso.cache.13-privatized_25-struct_nr_true.yml.log	3188	pso	0	11	2	03	16
0	0	0	12	0	11855036	72	12	caat-pso.cache.13-privatized_31-traces-mine-vs-mutex_true.yml.log	21443	pso	0	87	6	03	48
0	0	0	8	0	5383384	12	8	caat-pso.cache.13-privatized_20-publish-regression_true.yml.log	5645	pso	0	19	4	03	32
0	0	0	10	0	7691546	21	10	caat-pso.cache.13-privatized_30-traces-oplus-vs-meet_true.yml.log	8431	pso	0	31	5	03	40
0	0	0	10	0	8265658	5	10	caat-pso.cache.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	3768	pso	0	13	5	03	40
0	0	0	16	0	21791515	62	16	caat-pso.cache.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	23156	pso	0	78	8	03	64
0	0	0	14	0	19711673	75	14	caat-pso.cache.13-privatized_29-multiple-protecting2-vesal_true.yml.log	26830	pso	0	91	7	03	56
0	0	0	1	0	297229	0	1	caat-pso.cache.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	98	pso	0	1	1	03	4
0	0	0	10	0	12930430	68	10	caat-pso.cache.36-apron_21-traces-cluster-based_true.yml.log	23781	pso	0	91	5	03	40
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	pso	0	0	0	03	0
0	0	0	24	0	91017045	402	24	caat-pso.cache.13-privatized_24-multiple-protecting_true.yml.log	136221	pso	0	432	12	03	96
0	0	0	2	0	494738	0	2	caat-pso.cache.48_ticket_lock_low_contention_vs-pthread.yml.log	76	pso	0	1	1	03	8
0	0	0	0	0	0	0	0	caat-pso.cache.29_conditionals_vs.yml.log	0	pso	0	0	0	03	0
0	0	0	2	0	519688	0	2	caat-pso.cache.14_spin2003.yml.log	117	pso	0	1	1	03	8
0	0	0	4	0	1413450	2	4	caat-pso.cache.45_monabsex1_vs.yml.log	1104	pso	0	4	2	03	16
0	0	0	6	0	3229865	6	6	caat-pso.cache.46_monabsex2_vs.yml.log	2283	pso	0	9	3	03	24
0	0	0	6	0	7114946	4	6	caat-pso.cache.stateful01-1.yml.log	4813	pso	0	10	4	03	28
0	0	0	24	0	106672769	1498	24	caat-pso.cache.13-privatized_27-multiple-protecting2_true.yml.log	570994	pso	0	1564	12	03	96
0	0	0	14	0	17457278	109	14	caat-pso.cache.stateful01-2.yml.log	61357	pso	0	126	8	03	60
0	0	0	6	0	3303713	2	6	caat-pso.cache.01b_inc.yml.log	1477	pso	0	5	3	03	24
0	0	0	11	0	13220178	13	11	caat-pso.cache.time_var_mutex.yml.log	9851	pso	0	23	7	03	44
0	0	0	4	0	3458414	2	4	caat-pso.cache.48_ticket_lock_low_contention_vs.yml.log	1130	pso	0	4	2	03	16
